alimentos terapéuticos	ALIMENTOS-TERAPÉUTICOS
alta temperatura	ALTA-TEMPERATURA
alucinación	ALUCINACIÓN
alucinar	ALUCINAR
alérgico	ALÉRGICO
amante	AMANTE
amante del riesgo	AMANTE-DEL-RIESGO
ambulancia	AMBULANCIA
ambulatorio	AMBULATORIO
amigdalitis	AMIGDALITIS
amnesia	AMNESIA
amor propio	AMOR-PROPIO
ampolla	AMPOLLA
amputar	AMPUTAR
analgésico	ANALGÉSICO
andador	ANDADOR
andador	ANDADOR
anemia	ANEMIA
anestesia	ANESTESIA
anestesia general	ANESTESIA-GENERAL
anestesiar	ANESTESIAR
anestesiología	ANESTESIOLOGÍA
anestesista	ANESTESISTA
anestésico	ANESTÉSICO
anfetamina	ANFETAMINA
anomalía del desarrollo	ANOMALÍA-DEL-DESARROLLO
anorexia	ANOREXIA
ansiedad	ANSIEDAD
antecedentes médicos	ANTECEDENTES-MÉDICOS
antibiótico	ANTIBIÓTICO
anticonceptivo	ANTICONCEPTIVO
anticuerpos	ANTICUERPOS
antidepresivo	ANTIDEPRESIVO
análisis de orina	ANÁLISIS-DE-ORINA
análisis de personalidad	ANÁLISIS-DE-PERSONALIDAD
análisis de sangre	ANÁLISIS-DE-SANGRE
aparato de rayos X	APARATO-DE-RAYOS-X
aparato dental	APARATO-DENTAL
aparato reproductor femenino	APARATO-REPRODUCTOR-FEMENINO
aparato reproductor masculino	APARATO-REPRODUCTOR-MASCULINO
apatía	APATÍA
apestar	APESTAR
apestoso	APESTOSO
apoyo a las víctimas	APOYO-A-LAS-VÍCTIMAS
arañazo	ARAÑAZO
ardor de estómago	ARDOR-DE-ESTÓMAGO
artritis	ARTRITIS
aseo de caballeros	ASEO-DE-CABALLEROS
asesor sanitario	ASESOR-SANITARIO
Asesoramiento familiar	ASESORAMIENTO-FAMILIAR
asexual	ASEXUAL
asfixia	ASFIXIA
asidero de cama	ASIDERO-DE-CAMA
asistencia	ASISTENCIA
asistir	ASISTIR
asma	ASMA
asociacion de usuarios	ASOCIACION-DE-USUARIOS
aspirina	ASPIRINA
atención ambulatoria	ATENCIÓN-AMBULATORIA
atención comunitaria	ATENCIÓN-COMUNITARIA
atención institucional	ATENCIÓN-INSTITUCIONAL
atención médica primaria	ATENCIÓN-MÉDICA-PRIMARIA
atención permanente	ATENCIÓN-PERMANENTE
atención personal	ATENCIÓN-PERSONAL
atracón	ATRACÓN
audiograma	AUDIOGRAMA
audiología	AUDIOLOGÍA
audiometría	AUDIOMETRÍA
audiólogo	AUDIÓLOGO
audífono	AUDÍFONO
autismo	AUTISMO
autista	AUTISTA
autoanálisis	AUTOANÁLISIS
autocastigo	AUTOCASTIGO
autocuidado	AUTOCUIDADO
autoestima	AUTOESTIMA
automutilación	AUTOMUTILACIÓN
autopsia	AUTOPSIA
autoverificación	AUTOVERIFICACIÓN
auxiliar de enfermería	AUXILIAR-DE-ENFERMERÍA
aversión al riesgo	AVERSIÓN-AL-RIESGO
ayuda	AYUDA
ayuda a domicilio	AYUDA-A-DOMICILIO
ayudante	AYUDANTE
ayudar	AYUDAR
año de vida ajustado por calidad	AÑO-DE-VIDA-AJUSTADO-POR-CALIDAD
balneario	BALNEARIO
banco de sangre	BANCO-DE-SANGRE
bastoncillos de algodón	BASTONCILLOS-DE-ALGODÓN
Bayer	BAYER
bañar	BAÑAR
benigno	BENIGNO
besar	BESAR
beso	BESO
besuqueo	BESUQUEO
biblioterapia	BIBLIOTERAPIA
bisexual	BISEXUAL
bisturí	BISTURÍ
boca abajo	BOCA-ABAJO
boca arriba	BOCA-ARRIBA
bolsa de agua caliente	BOLSA-DE-AGUA-CALIENTE
bolsa para transportar cadáveres	BOLSA-PARA-TRANSPORTAR-CADÁVERES
borracho	BORRACHO
botiquín	BOTIQUÍN
botiquín de primeros auxilios	BOTIQUÍN-DE-PRIMEROS-AUXILIOS
bronquitis	BRONQUITIS
bucle de inducción	BUCLE-DE-INDUCCIÓN
buen estado físico	BUEN-ESTADO-FÍSICO
buena salud	BUENA-SALUD
bulimia	BULIMIA
cadáver	CADÁVER
cadáver	CADÁVER
caer enfermo	CAER-ENFERMO
calambre	CALAMBRE
calidad de vida	CALIDAD-DE-VIDA
caliente	CALIENTE
camilla	CAMILLA
camilla ginecológica	CAMILLA-GINECOLÓGICA
cancerígeno	CANCERÍGENO
cannabis	CANNABIS
cardiograma	CARDIOGRAMA
cardiología	CARDIOLOGÍA
cardíaco	CARDÍACO
carie en el diente	CARIE-EN-EL-DIENTE
caries	CARIES
casa de retiro	CASA-DE-RETIRO
